ID,Category,match_score,skills_found,missing_skills
18448085,AUTOMOBILE,0.253393688,"['python', 'sql', 'excel', 'data analysis', 'pandas', 'numpy', 'tableau', 'statistics']","['machine learning', 'deep learning']"
21156767,CONSULTANT,0.247502755,"['python', 'machine learning', 'sql', 'data analysis']","['numpy', 'pandas', 'statistics', 'deep learning']"
12011623,ENGINEERING,0.22890088,"['python', 'machine learning', 'sql', 'excel', 'data analysis', 'pandas', 'tableau', 'statistics']","['numpy', 'deep learning']"
62994611,AGRICULTURE,0.223813573,"['python', 'sql', 'excel', 'pandas', 'tableau']","['machine learning', 'statistics', 'numpy', 'deep learning', 'data analysis']"
34953092,BANKING,0.135485799,"['python', 'machine learning', 'sql']","['statistics', 'numpy', 'pandas', 'deep learning', 'data analysis']"
42156237,DIGITAL-MEDIA,0.135106641,"['python', 'sql', 'excel', 'tableau', 'power bi']","['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'data analysis']"
12351749,SALES,0.132678733,"['machine learning', 'excel', 'data analysis', 'tableau', 'statistics']","['python', 'numpy', 'pandas', 'deep learning']"
18067556,,0.131118523,"['python', 'sql', 'excel', 'data analysis', 'tableau']","['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning']"
30863060,CONSULTANT,0.126591418,"['sql', 'excel', 'tableau']","['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'data analysis', 'python']"
24610685,SALES,0.125943172,"['sql', 'excel', 'tableau']","['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'data analysis', 'python']"
11813872,AGRICULTURE,0.122489493,"['python', 'sql', 'pandas']","['machine learning', 'statistics', 'numpy', 'deep learning', 'data analysis']"
12777487,ARTS,0.116426648,[],"['data analysis', 'machine learning', 'statistics', 'python', 'numpy', 'pandas', 'deep learning']"
13385306,INFORMATION-TECHNOLOGY,0.100471842,"['sql', 'tableau']","['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'data analysis', 'python']"
22946204,AUTOMOBILE,0.098815632,"['python', 'machine learning', 'sql', 'excel', 'data analysis', 'statistics']","['numpy', 'pandas', 'deep learning']"
10265057,INFORMATION-TECHNOLOGY,0.095975429,"['python', 'sql', 'excel', 'statistics']","['machine learning', 'numpy', 'pandas', 'deep learning', 'data analysis']"
18835363,DESIGNER,0.095809757,[],"['data analysis', 'machine learning', 'statistics', 'python', 'numpy', 'pandas', 'deep learning']"
11890896,ENGINEERING,0.09416824,"['sql', 'excel', 'data analysis', 'statistics']","['machine learning', 'numpy', 'pandas', 'deep learning', 'python']"
36434348,INFORMATION-TECHNOLOGY,0.084191591,['sql'],"['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'data analysis', 'python']"
30223363,INFORMATION-TECHNOLOGY,0.0838757,"['sql', 'data analysis']","['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'python']"
90363254,TEACHER,0.083728496,[],"['data analysis', 'machine learning', 'statistics', 'python', 'numpy', 'pandas', 'deep learning']"
26585242,HEALTHCARE,0.083216536,"['sql', 'excel', 'data analysis', 'tableau']","['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'python']"
36206485,TEACHER,0.081410996,['excel'],"['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'data analysis', 'python']"
39247950,BANKING,0.081110328,"['sql', 'data analysis']","['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'python']"
14871762,BUSINESS-DEVELOPMENT,0.079592703,"['python', 'sql', 'excel', 'tableau']","['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'data analysis']"
12467531,TEACHER,0.078102577,['excel'],"['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'data analysis', 'python']"
13296856,TEACHER,0.07784262,['excel'],"['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'data analysis', 'python']"
28126340,INFORMATION-TECHNOLOGY,0.075830054,['sql'],"['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'data analysis', 'python']"
79541391,INFORMATION-TECHNOLOGY,0.075256457,"['sql', 'excel', 'statistics']","['machine learning', 'numpy', 'pandas', 'deep learning', 'data analysis', 'python']"
98348532,BANKING,0.074822487,"['sql', 'data analysis']","['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'python']"
18187364,INFORMATION-TECHNOLOGY,0.074577709,"['sql', 'statistics']","['machine learning', 'numpy', 'pandas', 'deep learning', 'data analysis', 'python']"
22776912,INFORMATION-TECHNOLOGY,0.07358415,"['sql', 'excel']","['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'data analysis', 'python']"
13405733,INFORMATION-TECHNOLOGY,0.073079087,"['python', 'sql', 'excel']","['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'data analysis']"
22232367,AVIATION,0.072708179,"['python', 'sql', 'excel']","['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'data analysis']"
27080812,DIGITAL-MEDIA,0.071014329,['machine learning'],"['statistics', 'numpy', 'pandas', 'deep learning', 'data analysis', 'python']"
43311839,CONSULTANT,0.070048964,"['sql', 'excel']","['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'data analysis', 'python']"
12374933,CONSULTANT,0.06711736,"['sql', 'excel', 'statistics']","['machine learning', 'numpy', 'pandas', 'deep learning', 'data analysis', 'python']"
25990239,INFORMATION-TECHNOLOGY,0.066721151,"['excel', 'data analysis']","['machine learning', 'statistics', 'numpy', 'pandas', 'deep learning', 'python']"
